seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,viable_CRPs,server_accuracy,attacker_accuracy
0,64,4,1000000,200,100,0.95,MLP,MLP,5,400,0.0,0.57
0,64,4,1000000,200,100,0.95,MLP,MLP,5,600,0.0,0.665
0,64,4,1000000,200,100,0.95,MLP,MLP,5,800,0.0,0.28
0,64,4,1000000,200,100,0.95,MLP,MLP,5,1000,0.0,0.77
0,64,4,1000000,200,100,0.95,MLP,MLP,5,1200,0.0,0.47
0,64,4,1000000,200,100,0.95,MLP,MLP,5,1400,0.0,0.325
0,64,4,1000000,200,100,0.95,MLP,MLP,5,1600,0.0,0.165
0,64,4,1000000,200,100,0.95,MLP,MLP,5,1800,0.0,0.42
0,64,4,1000000,200,100,0.95,MLP,MLP,5,2000,0.0,0.435
0,64,4,1000000,200,100,0.95,MLP,MLP,5,2200,0.0,0.455
0,64,4,1000000,200,100,0.95,MLP,MLP,5,2400,0.0,0.815
0,64,4,1000000,200,100,0.95,MLP,MLP,5,2600,0.0,0.66
0,64,4,1000000,200,100,0.95,MLP,MLP,5,2800,0.0,0.21
0,64,4,1000000,200,100,0.95,MLP,MLP,5,3000,0.0,0.44
0,64,4,1000000,200,100,0.95,MLP,MLP,5,3200,0.0,0.345
0,64,4,1000000,200,100,0.95,MLP,MLP,5,3400,0.0,0.06
0,64,4,1000000,200,100,0.95,MLP,MLP,5,3600,0.0,0.32
0,64,4,1000000,200,100,0.95,MLP,MLP,5,3800,0.0,0.02
0,64,4,1000000,200,100,0.95,MLP,MLP,5,4000,0.0,0.35
0,64,4,1000000,200,100,0.95,MLP,MLP,5,4200,0.0,0.16
0,64,4,1000000,200,100,0.95,MLP,MLP,5,4400,0.0,0.145
0,64,4,1000000,200,100,0.95,MLP,MLP,5,4600,0.0,0.18
0,64,4,1000000,200,100,0.95,MLP,MLP,5,4800,0.0,0.87
0,64,4,1000000,200,100,0.95,MLP,MLP,5,5000,0.0,0.07
0,64,4,1000000,200,100,0.95,MLP,MLP,5,5200,0.0,0.37
0,64,4,1000000,200,100,0.95,MLP,MLP,5,5400,0.0,0.52
0,64,4,1000000,200,100,0.95,MLP,MLP,5,5600,0.0,0.615
0,64,4,1000000,200,100,0.95,MLP,MLP,5,5800,0.0,0.14
0,64,4,1000000,200,100,0.95,MLP,MLP,5,6000,0.0,0.375
0,64,4,1000000,200,100,0.95,MLP,MLP,5,6200,0.0,0.675
0,64,4,1000000,200,100,0.95,MLP,MLP,5,6400,0.0,0.53
0,64,4,1000000,200,100,0.95,MLP,MLP,5,6600,0.0,0.98
0,64,4,1000000,200,100,0.95,MLP,MLP,5,6800,0.01,0.105
0,64,4,1000000,200,100,0.95,MLP,MLP,5,7000,0.0,0.42
0,64,4,1000000,200,100,0.95,MLP,MLP,5,7200,0.0,0.67
0,64,4,1000000,200,100,0.95,MLP,MLP,5,7400,0.0,0.765
0,64,4,1000000,200,100,0.95,MLP,MLP,5,7600,0.0,0.735
0,64,4,1000000,200,100,0.95,MLP,MLP,5,7800,0.0,0.29
0,64,4,1000000,200,100,0.95,MLP,MLP,5,8000,0.0,0.805
0,64,4,1000000,200,100,0.95,MLP,MLP,5,8200,0.0,0.325
0,64,4,1000000,200,100,0.95,MLP,MLP,5,8400,0.0,0.86
0,64,4,1000000,200,100,0.95,MLP,MLP,5,8600,0.0,0.93
0,64,4,1000000,200,100,0.95,MLP,MLP,5,8800,0.0,0.48
0,64,4,1000000,200,100,0.95,MLP,MLP,5,9000,0.0,0.995
0,64,4,1000000,200,100,0.95,MLP,MLP,5,9200,0.005,0.165
0,64,4,1000000,200,100,0.95,MLP,MLP,5,9400,0.0,0.23
0,64,4,1000000,200,100,0.95,MLP,MLP,5,9600,0.0,0.12
0,64,4,1000000,200,100,0.95,MLP,MLP,5,9800,0.0,0.82
0,64,4,1000000,200,100,0.95,MLP,MLP,5,10000,0.0,0.08
0,64,4,1000000,200,100,0.95,MLP,MLP,5,10200,0.0,0.35
0,64,4,1000000,200,100,0.95,MLP,MLP,5,10400,0.0,0.1
0,64,4,1000000,200,100,0.95,MLP,MLP,5,10600,0.0,0.17
0,64,4,1000000,200,100,0.95,MLP,MLP,5,10800,0.0,0.215
0,64,4,1000000,200,100,0.95,MLP,MLP,5,11000,0.005,0.515
0,64,4,1000000,200,100,0.95,MLP,MLP,5,11200,0.0,0.015
0,64,4,1000000,200,100,0.95,MLP,MLP,5,11400,0.0,0.78
0,64,4,1000000,200,100,0.95,MLP,MLP,5,11600,0.0,0.075
0,64,4,1000000,200,100,0.95,MLP,MLP,5,11800,0.0,0.15
0,64,4,1000000,200,100,0.95,MLP,MLP,5,12000,0.0,0.335
0,64,4,1000000,200,100,0.95,MLP,MLP,5,12200,0.0,0.25
0,64,4,1000000,200,100,0.95,MLP,MLP,5,12400,0.0,0.2
0,64,4,1000000,200,100,0.95,MLP,MLP,5,12600,0.0,0.255
0,64,4,1000000,200,100,0.95,MLP,MLP,5,12800,0.0,0.13
0,64,4,1000000,200,100,0.95,MLP,MLP,5,13000,0.0,0.38
0,64,4,1000000,200,100,0.95,MLP,MLP,5,13200,0.0,0.95
0,64,4,1000000,200,100,0.95,MLP,MLP,5,13400,0.0,0.915
0,64,4,1000000,200,100,0.95,MLP,MLP,5,13600,0.0,0.015
0,64,4,1000000,200,100,0.95,MLP,MLP,5,13800,0.0,0.2
0,64,4,1000000,200,100,0.95,MLP,MLP,5,14000,0.0,0.18
0,64,4,1000000,200,100,0.95,MLP,MLP,5,14200,0.0,0.67
0,64,4,1000000,200,100,0.95,MLP,MLP,5,14400,0.0,0.99
0,64,4,1000000,200,100,0.95,MLP,MLP,5,14600,0.0,0.955
0,64,4,1000000,200,100,0.95,MLP,MLP,5,14800,0.0,0.965
0,64,4,1000000,200,100,0.95,MLP,MLP,5,15000,0.0,0.86
0,64,4,1000000,200,100,0.95,MLP,MLP,5,15200,0.0,0.56
0,64,4,1000000,200,100,0.95,MLP,MLP,5,15400,0.0,0.195
0,64,4,1000000,200,100,0.95,MLP,MLP,5,15600,0.0,0.665
0,64,4,1000000,200,100,0.95,MLP,MLP,5,15800,0.0,0.95
0,64,4,1000000,200,100,0.95,MLP,MLP,5,16000,0.03,0.285
0,64,4,1000000,200,100,0.95,MLP,MLP,5,16200,0.0,0.135
0,64,4,1000000,200,100,0.95,MLP,MLP,5,16400,0.0,0.385
0,64,4,1000000,200,100,0.95,MLP,MLP,5,16600,0.0,0.595
0,64,4,1000000,200,100,0.95,MLP,MLP,5,16800,0.0,0.925
0,64,4,1000000,200,100,0.95,MLP,MLP,5,17000,0.005,0.295
0,64,4,1000000,200,100,0.95,MLP,MLP,5,17200,0.0,0.14
0,64,4,1000000,200,100,0.95,MLP,MLP,5,17400,0.0,0.055
0,64,4,1000000,200,100,0.95,MLP,MLP,5,17600,0.0,0.205
0,64,4,1000000,200,100,0.95,MLP,MLP,5,17800,0.0,0.135
0,64,4,1000000,200,100,0.95,MLP,MLP,5,18000,0.0,0.485
0,64,4,1000000,200,100,0.95,MLP,MLP,5,18200,0.0,0.08
0,64,4,1000000,200,100,0.95,MLP,MLP,5,18400,0.0,0.76
0,64,4,1000000,200,100,0.95,MLP,MLP,5,18600,0.0,0.91
0,64,4,1000000,200,100,0.95,MLP,MLP,5,18800,0.0,0.99
0,64,4,1000000,200,100,0.95,MLP,MLP,5,19000,0.0,0.255
0,64,4,1000000,200,100,0.95,MLP,MLP,5,19200,0.0,0.22
0,64,4,1000000,200,100,0.95,MLP,MLP,5,19400,0.0,0.4
0,64,4,1000000,200,100,0.95,MLP,MLP,5,19600,0.0,0.34
0,64,4,1000000,200,100,0.95,MLP,MLP,5,19800,0.0,0.355
0,64,4,1000000,200,100,0.95,MLP,MLP,5,20000,0.0,0.265
0,64,4,1000000,200,100,0.95,MLP,MLP,5,20200,0.0,0.71
0,64,4,1000000,200,100,0.95,MLP,MLP,5,20400,0.0,0.165
0,64,4,1000000,200,100,0.95,MLP,MLP,5,20600,0.0,0.225
0,64,4,1000000,200,100,0.95,MLP,MLP,5,20800,0.0,0.29
0,64,4,1000000,200,100,0.95,MLP,MLP,5,21000,0.0,0.375
0,64,4,1000000,200,100,0.95,MLP,MLP,5,21200,0.02,0.315
0,64,4,1000000,200,100,0.95,MLP,MLP,5,21400,0.0,0.87
0,64,4,1000000,200,100,0.95,MLP,MLP,5,21600,0.0,0.16
0,64,4,1000000,200,100,0.95,MLP,MLP,5,21800,0.0,0.095
0,64,4,1000000,200,100,0.95,MLP,MLP,5,22000,0.0,0.225
0,64,4,1000000,200,100,0.95,MLP,MLP,5,22200,0.0,0.6
0,64,4,1000000,200,100,0.95,MLP,MLP,5,22400,0.0,0.63
0,64,4,1000000,200,100,0.95,MLP,MLP,5,22600,0.0,0.565
0,64,4,1000000,200,100,0.95,MLP,MLP,5,22800,0.0,0.615
0,64,4,1000000,200,100,0.95,MLP,MLP,5,23000,0.0,0.94
0,64,4,1000000,200,100,0.95,MLP,MLP,5,23200,0.0,0.505
0,64,4,1000000,200,100,0.95,MLP,MLP,5,23400,0.0,0.225
0,64,4,1000000,200,100,0.95,MLP,MLP,5,23600,0.0,0.21
0,64,4,1000000,200,100,0.95,MLP,MLP,5,23800,0.045,0.43
0,64,4,1000000,200,100,0.95,MLP,MLP,5,24000,0.0,0.505
0,64,4,1000000,200,100,0.95,MLP,MLP,5,24200,0.0,0.48
0,64,4,1000000,200,100,0.95,MLP,MLP,5,24400,0.0,0.94
